,player_name,age,player_height,player_weight,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,salary_cap,africa,asia,australia_oceania,europe,north_america,south_america,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS,experience,salary
43,Sean May,22.0,205.74,120.655472,1,13,23,8.2,4.7,1.0,-3.1,0.115,0.211,0.251,0.474,0.105,2006,71839551,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1619280.0
46,Steve Blake,26.0,190.5,78.017824,2,38,68,8.2,2.1,4.5,-11.8,0.017,0.083,0.157,0.5489999999999999,0.2769999999999999,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1000000.0
47,Stephon Marbury,29.0,187.96,92.98636,1,4,60,16.3,2.9,6.4,-7.4,0.013,0.0819999999999999,0.218,0.532,0.305,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,16453125.0
48,Stephen Jackson,28.0,203.2,98.883056,2,42,81,16.4,3.9,2.8,-0.1,0.02,0.103,0.24,0.512,0.141,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5610000.0
50,Stacey Augmon,37.0,203.2,96.615096,1,9,36,2.0,1.5,0.6,8.0,0.0579999999999999,0.11,0.12,0.412,0.092,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1138500.0
51,Speedy Claxton,28.0,180.34,77.11064,1,20,71,12.3,2.7,4.8,0.1,0.023,0.091,0.238,0.497,0.306,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3600000.0
52,Sebastian Telfair,21.0,182.88,72.57472,1,13,68,9.5,1.8,3.6,-12.2,0.0139999999999999,0.075,0.222,0.491,0.273,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1676280.0
53,Smush Parker,25.0,193.04,81.64656,3,61,82,11.5,3.3,3.7,3.0,0.016,0.099,0.163,0.5479999999999999,0.165,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,745248.0
54,Shawn Marion,28.0,200.66,103.418976,1,9,81,21.8,11.8,1.8,7.1,0.086,0.238,0.222,0.591,0.068,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,13700000.0
55,Shavlik Randolph,22.0,208.28,108.86208,3,61,57,2.3,2.3,0.3,4.4,0.133,0.183,0.14,0.511,0.062,2006,71839551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,398762.0
